ReferenceID,StartTime,EndTime,,,
2023-NCD-067,0:05:00,0:25:00,,,
2023-NCD-068,0:05:00,0:25:00,,,
2023-NCD-070,0:10:00,0:30:00,,,
2023-NCD-073,0:10:00,0:30:00,,,
2023-NCD-077,0:10:00,0:30:00,,,
2023-NCD-078,0:10:00,0:30:00,,,
2023-NCD-079,0:10:00,0:30:00,,,
2023-NCD-080,0:05:00,0:25:00,,,
2023-NCD-082,0:05:00,0:25:00,,,
2023-NCD-083,0:10:00,0:30:00,,,
2023-NCD-084,0:05:00,0:25:00,,,
2023-NCD-086,0:05:00,0:25:00,,,
2023-NCD-087,0:10:00,0:30:00,,,
2023-NCD-089,0:10:00,0:30:00,,,
2023-NCD-091,0:10:00,0:30:00,,,
2023-NCD-094,0:10:00,0:30:00,,,
2023-NCD-096,0:10:00,0:30:00,,,
2023-NCD-097,0:10:00,0:30:00,,,
2023-NCD-099,0:10:00,0:30:00,,,
2023-NCD-100,0:10:00,0:30:00,,,
2023-NCD-101,0:10:00,0:30:00,,,
2023-NCD-102,0:10:00,0:30:00,,,
2023-NCD-103,0:05:00,0:25:00,,,
2023-NCD-105,0:05:00,0:25:00,,,
2023-NCD-106,0:05:00,0:25:00,,,
2023-NCD-107,0:05:00,0:25:00,,,
2023-NCD-108,0:05:00,0:25:00,,,
2023-NCD-109,0:05:00,0:25:00,,,
2023-NCD-110,0:05:00,0:25:00,,,
2023-NCD-111,0:05:00,0:25:00,,,
2023-NCD-112,0:05:00,0:25:00,,,
2023-NCD-113,0:05:00,0:25:00,,,
2023-NCD-114,0:05:00,0:25:00,,,
2023-NCD-116,0:05:00,0:25:00,,,
2023-NCD-117,0:05:00,0:25:00,,,
2023-NCD-118,0:05:00,0:25:00,,,
2023-NCD-119,0:05:00,0:25:00,,,
2023-NCD-120,0:05:00,0:25:00,,,
2023-NCD-121,0:05:00,0:25:00,,,
2023-NCD-122,0:10:00,0:30:00,,,
2023-NCD-123,0:05:00,0:25:00,,,
2023-NCD-124,0:10:00,0:30:00,,,
2023-NCD-125,0:05:00,0:25:00,,,
2023-NCD-126,0:10:00,0:30:00,,,
2023-NCD-127,0:05:00,0:25:00,,,
2023-NCD-128,0:05:00,0:25:00,,,
2023-NCD-129,0:05:00,0:25:00,,,
2023-NCD-130,0:05:00,0:25:00,,,
2023-NCD-131,0:10:00,0:30:00,,,
2023-NCD-132,0:10:00,0:30:00,,,
2023-NCD-133,0:05:00,0:25:00,,,
2023-NCD-134,0:05:00,0:25:00,,,
2023-NCD-135,0:10:00,0:30:00,,,
2023-NCD-136,0:05:00,0:25:00,,,
2023-NCD-137,0:05:00,0:25:00,,,
2023-NCD-138,0:10:00,0:30:00,,,
2023-NCD-139,0:05:00,0:25:00,,,
2023-NCD-140,0:10:00,0:30:00,,,
2023-NCD-141,0:05:00,0:25:00,,,
2023-NCD-142,0:05:00,0:25:00,,,
2023-NCD-143,0:05:00,0:25:00,,,
2023-NCD-144,0:10:00,0:30:00,,,
2023-NCD-145,0:05:00,0:25:00,,,
2023-NCD-146,0:10:00,0:30:00,,,
2023-NCD-147,0:05:00,0:25:00,,,
2023-NCD-148,0:05:00,0:25:00,,,
2023-NCD-149,0:10:00,0:30:00,,,
2023-NCD-150,0:10:00,0:30:00,,,
