Frame,Timestamp
2793,00:09:18.55860 UTC
2794,00:09:18.55880 UTC
2795,00:09:19.55900 UTC
2796,00:09:19.55920 UTC
2797,00:09:19.55940 UTC
2798,00:09:19.55960 UTC
2799,00:09:19.55980 UTC
2800,00:09:20.56000 UTC
2801,00:09:20.56020 UTC
2802,00:09:20.56040 UTC
2803,00:09:20.56060 UTC
2804,00:09:20.56080 UTC
2805,00:09:21.56100 UTC
2806,00:09:21.56120 UTC
2807,00:09:21.56140 UTC
2808,00:09:21.56160 UTC
2809,00:09:21.56180 UTC
2810,00:09:22.56200 UTC
2811,00:09:22.56220 UTC
2812,00:09:22.56240 UTC
2813,00:09:22.56260 UTC
2814,00:09:22.56280 UTC
2815,00:09:23.56300 UTC
2816,00:09:23.56320 UTC
2817,00:09:23.56340 UTC
2818,00:09:23.56360 UTC
2819,00:09:23.56380 UTC
2820,00:09:24.56400 UTC
2821,00:09:24.56420 UTC
2822,00:09:24.56440 UTC
2823,00:09:24.56460 UTC
2824,00:09:24.56480 UTC
2825,00:09:25.56500 UTC
2826,00:09:25.56520 UTC
2827,00:09:25.56540 UTC
2828,00:09:25.56560 UTC
2829,00:09:25.56580 UTC
2830,00:09:26.56600 UTC
2831,00:09:26.56620 UTC
2832,00:09:26.56640 UTC
2833,00:09:26.56660 UTC
2834,00:09:26.56680 UTC
2835,00:09:27.56700 UTC
2836,00:09:27.56720 UTC
2837,00:09:27.56740 UTC
2838,00:09:27.56760 UTC
2839,00:09:27.56780 UTC
2840,00:09:28.56800 UTC
2841,00:09:28.56820 UTC
2842,00:09:28.56840 UTC
2843,00:09:28.56860 UTC
2844,00:09:28.56880 UTC
2845,00:09:29.56900 UTC
2846,00:09:29.56920 UTC
2847,00:09:29.56940 UTC
2848,00:09:29.56960 UTC
2849,00:09:29.56980 UTC
2850,00:09:30.57000 UTC
2851,00:09:30.57020 UTC
2852,00:09:30.57040 UTC
2853,00:09:30.57060 UTC
2854,00:09:30.57080 UTC
2855,00:09:31.57100 UTC
2856,00:09:31.57120 UTC
2857,00:09:31.57140 UTC
2858,00:09:31.57160 UTC
2859,00:09:31.57180 UTC
2860,00:09:32.57200 UTC
2861,00:09:32.57220 UTC
2862,00:09:32.57240 UTC
2863,00:09:32.57260 UTC
2864,00:09:32.57280 UTC
2865,00:09:33.57300 UTC
2866,00:09:33.57320 UTC
2867,00:09:33.57340 UTC
2868,00:09:33.57360 UTC
2869,00:09:33.57380 UTC
2870,00:09:34.57400 UTC
2871,00:09:34.57420 UTC
2872,00:09:34.57440 UTC
2873,00:09:34.57460 UTC
2874,00:09:34.57480 UTC
2875,00:09:35.57500 UTC
2876,00:09:35.57520 UTC
2877,00:09:35.57540 UTC
2878,00:09:35.57560 UTC
2879,00:09:35.57580 UTC
2880,00:09:36.57600 UTC
2881,00:09:36.57620 UTC
2882,00:09:36.57640 UTC
2883,00:09:36.57660 UTC
2884,00:09:36.57680 UTC
2885,00:09:37.57700 UTC
2886,00:09:37.57720 UTC
2887,00:09:37.57740 UTC
2888,00:09:37.57760 UTC
2889,00:09:37.57780 UTC
2890,00:09:38.57800 UTC
2891,00:09:38.57820 UTC
2892,00:09:38.57840 UTC
2893,00:09:38.57860 UTC
2894,00:09:38.57880 UTC
2895,00:09:39.57900 UTC
2896,00:09:39.57920 UTC
2897,00:09:39.57940 UTC
2898,00:09:39.57960 UTC
2899,00:09:39.57980 UTC
2900,00:09:40.58000 UTC
2901,00:09:40.58020 UTC
2902,00:09:40.58040 UTC
2903,00:09:40.58060 UTC
2904,00:09:40.58080 UTC
2905,00:09:41.58100 UTC
2906,00:09:41.58120 UTC
2907,00:09:41.58140 UTC
2908,00:09:41.58160 UTC
2909,00:09:41.58180 UTC
2910,00:09:42.58200 UTC
2911,00:09:42.58220 UTC
2912,00:09:42.58240 UTC
2913,00:09:42.58260 UTC
2914,00:09:42.58280 UTC
2915,00:09:43.58300 UTC
2916,00:09:43.58320 UTC
2917,00:09:43.58340 UTC
2918,00:09:43.58360 UTC
2919,00:09:43.58380 UTC
2920,00:09:44.58400 UTC
2921,00:09:44.58420 UTC
2922,00:09:44.58440 UTC
2923,00:09:44.58460 UTC
2924,00:09:44.58480 UTC
2925,00:09:45.58500 UTC
2926,00:09:45.58520 UTC
2927,00:09:45.58540 UTC
2928,00:09:45.58560 UTC
2929,00:09:45.58580 UTC
2930,00:09:46.58600 UTC
2931,00:09:46.58620 UTC
2932,00:09:46.58640 UTC
2933,00:09:46.58660 UTC
2934,00:09:46.58680 UTC
2935,00:09:47.58700 UTC
2936,00:09:47.58720 UTC
2937,00:09:47.58740 UTC
2938,00:09:47.58760 UTC
2939,00:09:47.58780 UTC
2940,00:09:48.58800 UTC
2941,00:09:48.58820 UTC
2942,00:09:48.58840 UTC
2943,00:09:48.58860 UTC
2944,00:09:48.58880 UTC
2945,00:09:49.58900 UTC
2946,00:09:49.58920 UTC
2947,00:09:49.58940 UTC
2948,00:09:49.58960 UTC
2949,00:09:49.58980 UTC
2950,00:09:50.59000 UTC
2951,00:09:50.59020 UTC
2952,00:09:50.59040 UTC
2953,00:09:50.59060 UTC
2954,00:09:50.59080 UTC
2955,00:09:51.59100 UTC
2956,00:09:51.59120 UTC
2957,00:09:51.59140 UTC
2958,00:09:51.59160 UTC
2959,00:09:51.59180 UTC
2960,00:09:52.59200 UTC
2961,00:09:52.59220 UTC
2962,00:09:52.59240 UTC
2963,00:09:52.59260 UTC
2964,00:09:52.59280 UTC
2965,00:09:53.59300 UTC
2966,00:09:53.59320 UTC
2967,00:09:53.59340 UTC
2968,00:09:53.59360 UTC
2969,00:09:53.59380 UTC
2970,00:09:54.59400 UTC
2971,00:09:54.59420 UTC
2972,00:09:54.59440 UTC
2973,00:09:54.59460 UTC
2974,00:09:54.59480 UTC
2975,00:09:55.59500 UTC
2976,00:09:55.59520 UTC
2977,00:09:55.59540 UTC
2978,00:09:55.59560 UTC
2979,00:09:55.59580 UTC
2980,00:09:56.59600 UTC
2981,00:09:56.59620 UTC
2982,00:09:56.59640 UTC
2983,00:09:56.59660 UTC
2984,00:09:56.59680 UTC
2985,00:09:57.59700 UTC
2986,00:09:57.59720 UTC
2987,00:09:57.59740 UTC
2988,00:09:57.59760 UTC
2989,00:09:57.59780 UTC
2990,00:09:58.59800 UTC
2991,00:09:58.59820 UTC
2992,00:09:58.59840 UTC
2993,00:09:58.59860 UTC
2994,00:09:58.59880 UTC
2995,00:09:59.59900 UTC
2996,00:09:59.59920 UTC
2997,00:09:59.59940 UTC
2998,00:09:59.59960 UTC
2999,00:09:59.59980 UTC
3000,00:10:00.60000 UTC
3001,00:10:00.60020 UTC
3002,00:10:00.60040 UTC
3003,00:10:00.60060 UTC
3004,00:10:00.60080 UTC
3005,00:10:01.60100 UTC
3006,00:10:01.60120 UTC
3007,00:10:01.60140 UTC
3008,00:10:01.60160 UTC
3009,00:10:01.60180 UTC
3010,00:10:02.60200 UTC
3011,00:10:02.60220 UTC
3012,00:10:02.60240 UTC
3013,00:10:02.60260 UTC
3014,00:10:02.60280 UTC
3015,00:10:03.60300 UTC
3016,00:10:03.60320 UTC
3017,00:10:03.60340 UTC
3018,00:10:03.60360 UTC
3019,00:10:03.60380 UTC
3020,00:10:04.60400 UTC
3021,00:10:04.60420 UTC
3022,00:10:04.60440 UTC
3023,00:10:04.60460 UTC
3024,00:10:04.60480 UTC
3025,00:10:05.60500 UTC
3026,00:10:05.60520 UTC
3027,00:10:05.60540 UTC
3028,00:10:05.60560 UTC
3029,00:10:05.60580 UTC
3030,00:10:06.60600 UTC
3031,00:10:06.60620 UTC
3032,00:10:06.60640 UTC
3033,00:10:06.60660 UTC
3034,00:10:06.60680 UTC
3035,00:10:07.60700 UTC
3036,00:10:07.60720 UTC
3037,00:10:07.60740 UTC
3038,00:10:07.60760 UTC
3039,00:10:07.60780 UTC
3040,00:10:08.60800 UTC
3041,00:10:08.60820 UTC
3042,00:10:08.60840 UTC
3043,00:10:08.60860 UTC
3044,00:10:08.60880 UTC
3045,00:10:09.60900 UTC
3046,00:10:09.60920 UTC
3047,00:10:09.60940 UTC
3048,00:10:09.60960 UTC
3049,00:10:09.60980 UTC
3050,00:10:10.61000 UTC
3051,00:10:10.61020 UTC
3052,00:10:10.61040 UTC
3053,00:10:10.61060 UTC
3054,00:10:10.61080 UTC
3055,00:10:11.61100 UTC
3056,00:10:11.61120 UTC
3057,00:10:11.61140 UTC
3058,00:10:11.61160 UTC
3059,00:10:11.61180 UTC
3060,00:10:12.61200 UTC
3061,00:10:12.61220 UTC
3062,00:10:12.61240 UTC
3063,00:10:12.61260 UTC
3064,00:10:12.61280 UTC
3065,00:10:13.61300 UTC
3066,00:10:13.61320 UTC
3067,00:10:13.61340 UTC
3068,00:10:13.61360 UTC
3069,00:10:13.61380 UTC
3070,00:10:14.61400 UTC
3071,00:10:14.61420 UTC
3072,00:10:14.61440 UTC
3073,00:10:14.61460 UTC
3074,00:10:14.61480 UTC
3075,00:10:15.61500 UTC
3076,00:10:15.61520 UTC
3077,00:10:15.61540 UTC
3078,00:10:15.61560 UTC
3079,00:10:15.61580 UTC
3080,00:10:16.61600 UTC
3081,00:10:16.61620 UTC
3082,00:10:16.61640 UTC
3083,00:10:16.61660 UTC
3084,00:10:16.61680 UTC
3085,00:10:17.61700 UTC
3086,00:10:17.61720 UTC
3087,00:10:17.61740 UTC
3088,00:10:17.61760 UTC
3089,00:10:17.61780 UTC
3090,00:10:18.61800 UTC
3091,00:10:18.61820 UTC
3092,00:10:18.61840 UTC
3093,00:10:18.61860 UTC
3094,00:10:18.61880 UTC
3095,00:10:19.61900 UTC
3096,00:10:19.61920 UTC
3097,00:10:19.61940 UTC
3098,00:10:19.61960 UTC
3099,00:10:19.61980 UTC
3100,00:10:20.62000 UTC
3101,00:10:20.62020 UTC
3102,00:10:20.62040 UTC
3103,00:10:20.62060 UTC
3104,00:10:20.62080 UTC
3105,00:10:21.62100 UTC
3106,00:10:21.62120 UTC
3107,00:10:21.62140 UTC
3108,00:10:21.62160 UTC
3109,00:10:21.62180 UTC
3110,00:10:22.62200 UTC
3111,00:10:22.62220 UTC
3112,00:10:22.62240 UTC
3113,00:10:22.62260 UTC
3114,00:10:22.62280 UTC
3115,00:10:23.62300 UTC
3116,00:10:23.62320 UTC
3117,00:10:23.62340 UTC
3118,00:10:23.62360 UTC
3119,00:10:23.62380 UTC
3120,00:10:24.62400 UTC
3121,00:10:24.62420 UTC
3122,00:10:24.62440 UTC
3123,00:10:24.62460 UTC
3124,00:10:24.62480 UTC
3125,00:10:25.62500 UTC
3126,00:10:25.62520 UTC
3127,00:10:25.62540 UTC
3128,00:10:25.62560 UTC
3129,00:10:25.62580 UTC
3130,00:10:26.62600 UTC
3131,00:10:26.62620 UTC
3132,00:10:26.62640 UTC
3133,00:10:26.62660 UTC
3134,00:10:26.62680 UTC
3135,00:10:27.62700 UTC
3136,00:10:27.62720 UTC
3137,00:10:27.62740 UTC
3138,00:10:27.62760 UTC
3139,00:10:27.62780 UTC
3140,00:10:28.62800 UTC
3141,00:10:28.62820 UTC
3142,00:10:28.62840 UTC
3143,00:10:28.62860 UTC
3144,00:10:28.62880 UTC
3145,00:10:29.62900 UTC
3146,00:10:29.62920 UTC
3147,00:10:29.62940 UTC
3148,00:10:29.62960 UTC
3149,00:10:29.62980 UTC
3150,00:10:30.63000 UTC
3151,00:10:30.63020 UTC
3152,00:10:30.63040 UTC
3153,00:10:30.63060 UTC
3154,00:10:30.63080 UTC
3155,00:10:31.63100 UTC
3156,00:10:31.63120 UTC
3157,00:10:31.63140 UTC
3158,00:10:31.63160 UTC
3159,00:10:31.63180 UTC
3160,00:10:32.63200 UTC
3161,00:10:32.63220 UTC
3162,00:10:32.63240 UTC
3163,00:10:32.63260 UTC
3164,00:10:32.63280 UTC
3165,00:10:33.63300 UTC
3166,00:10:33.63320 UTC
3167,00:10:33.63340 UTC
3168,00:10:33.63360 UTC
3169,00:10:33.63380 UTC
3170,00:10:34.63400 UTC
3171,00:10:34.63420 UTC
3172,00:10:34.63440 UTC
3173,00:10:34.63460 UTC
3174,00:10:34.63480 UTC
3175,00:10:35.63500 UTC
3176,00:10:35.63520 UTC
3177,00:10:35.63540 UTC
3178,00:10:35.63560 UTC
3179,00:10:35.63580 UTC
3180,00:10:36.63600 UTC
3181,00:10:36.63620 UTC
3182,00:10:36.63640 UTC
3183,00:10:36.63660 UTC
3184,00:10:36.63680 UTC
3185,00:10:37.63700 UTC
3186,00:10:37.63720 UTC
3187,00:10:37.63740 UTC
3188,00:10:37.63760 UTC
3189,00:10:37.63780 UTC
3190,00:10:38.63800 UTC
3191,00:10:38.63820 UTC
3192,00:10:38.63840 UTC
3193,00:10:38.63860 UTC
3194,00:10:38.63880 UTC
3195,00:10:39.63900 UTC
3196,00:10:39.63920 UTC
3197,00:10:39.63940 UTC
3198,00:10:39.63960 UTC
3199,00:10:39.63980 UTC
3200,00:10:40.64000 UTC
3201,00:10:40.64020 UTC
3202,00:10:40.64040 UTC
3203,00:10:40.64060 UTC
3204,00:10:40.64080 UTC
3205,00:10:41.64100 UTC
3206,00:10:41.64120 UTC
3207,00:10:41.64140 UTC
3208,00:10:41.64160 UTC
3209,00:10:41.64180 UTC
3210,00:10:42.64200 UTC
3211,00:10:42.64220 UTC
3212,00:10:42.64240 UTC
3213,00:10:42.64260 UTC
3214,00:10:42.64280 UTC
3215,00:10:43.64300 UTC
3216,00:10:43.64320 UTC
3217,00:10:43.64340 UTC
3218,00:10:43.64360 UTC
3219,00:10:43.64380 UTC
3220,00:10:44.64400 UTC
3221,00:10:44.64420 UTC
3222,00:10:44.64440 UTC
3223,00:10:44.64460 UTC
3224,00:10:44.64480 UTC
3225,00:10:45.64500 UTC
3226,00:10:45.64520 UTC
3227,00:10:45.64540 UTC
3228,00:10:45.64560 UTC
3229,00:10:45.64580 UTC
3230,00:10:46.64600 UTC
3231,00:10:46.64620 UTC
3232,00:10:46.64640 UTC
3233,00:10:46.64660 UTC
3234,00:10:46.64680 UTC
3235,00:10:47.64700 UTC
3236,00:10:47.64720 UTC
3237,00:10:47.64740 UTC
3238,00:10:47.64760 UTC
3239,00:10:47.64780 UTC
3240,00:10:48.64800 UTC
3241,00:10:48.64820 UTC
3242,00:10:48.64840 UTC
3243,00:10:48.64860 UTC
3244,00:10:48.64880 UTC
3245,00:10:49.64900 UTC
3246,00:10:49.64920 UTC
3247,00:10:49.64940 UTC
3248,00:10:49.64960 UTC
3249,00:10:49.64980 UTC
3250,00:10:50.65000 UTC
3251,00:10:50.65020 UTC
3252,00:10:50.65040 UTC
3253,00:10:50.65060 UTC
3254,00:10:50.65080 UTC
3255,00:10:51.65100 UTC
3256,00:10:51.65120 UTC
3257,00:10:51.65140 UTC
3258,00:10:51.65160 UTC
3259,00:10:51.65180 UTC
3260,00:10:52.65200 UTC
3261,00:10:52.65220 UTC
3262,00:10:52.65240 UTC
3263,00:10:52.65260 UTC
3264,00:10:52.65280 UTC
3265,00:10:53.65300 UTC
3266,00:10:53.65320 UTC
3267,00:10:53.65340 UTC
3268,00:10:53.65360 UTC
3269,00:10:53.65380 UTC
3270,00:10:54.65400 UTC
3271,00:10:54.65420 UTC
3272,00:10:54.65440 UTC
3273,00:10:54.65460 UTC
3274,00:10:54.65480 UTC
3275,00:10:55.65500 UTC
3276,00:10:55.65520 UTC
3277,00:10:55.65540 UTC
3278,00:10:55.65560 UTC
3279,00:10:55.65580 UTC
3280,00:10:56.65600 UTC
3281,00:10:56.65620 UTC
3282,00:10:56.65640 UTC
3283,00:10:56.65660 UTC
3284,00:10:56.65680 UTC
3285,00:10:57.65700 UTC
3286,00:10:57.65720 UTC
3287,00:10:57.65740 UTC
3288,00:10:57.65760 UTC
3289,00:10:57.65780 UTC
3290,00:10:58.65800 UTC
3291,00:10:58.65820 UTC
3292,00:10:58.65840 UTC
3293,00:10:58.65860 UTC
3294,00:10:58.65880 UTC
3295,00:10:59.65900 UTC
3296,00:10:59.65920 UTC
3297,00:10:59.65940 UTC
3298,00:10:59.65960 UTC
3299,00:10:59.65980 UTC
3300,00:11:00.66000 UTC
3301,00:11:00.66020 UTC
3302,00:11:00.66040 UTC
3303,00:11:00.66060 UTC
3304,00:11:00.66080 UTC
3305,00:11:01.66100 UTC
3306,00:11:01.66120 UTC
3307,00:11:01.66140 UTC
3308,00:11:01.66160 UTC
3309,00:11:01.66180 UTC
3310,00:11:02.66200 UTC
3311,00:11:02.66220 UTC
3312,00:11:02.66240 UTC
3313,00:11:02.66260 UTC
3314,00:11:02.66280 UTC
3315,00:11:03.66300 UTC
3316,00:11:03.66320 UTC
3317,00:11:03.66340 UTC
3318,00:11:03.66360 UTC
3319,00:11:03.66380 UTC
3320,00:11:04.66400 UTC
3321,00:11:04.66420 UTC
3322,00:11:04.66440 UTC
3323,00:11:04.66460 UTC
3324,00:11:04.66480 UTC
3325,00:11:05.66500 UTC
3326,00:11:05.66520 UTC
3327,00:11:05.66540 UTC
3328,00:11:05.66560 UTC
3329,00:11:05.66580 UTC
3330,00:11:06.66600 UTC
3331,00:11:06.66620 UTC
3332,00:11:06.66640 UTC
3333,00:11:06.66660 UTC
3334,00:11:06.66680 UTC
3335,00:11:07.66700 UTC
3336,00:11:07.66720 UTC
3337,00:11:07.66740 UTC
3338,00:11:07.66760 UTC
3339,00:11:07.66780 UTC
3340,00:11:08.66800 UTC
3341,00:11:08.66820 UTC
3342,00:11:08.66840 UTC
3343,00:11:08.66860 UTC
3344,00:11:08.66880 UTC
3345,00:11:09.66900 UTC
3346,00:11:09.66920 UTC
3347,00:11:09.66940 UTC
3348,00:11:09.66960 UTC
3349,00:11:09.66980 UTC
3350,00:11:10.67000 UTC
3351,00:11:10.67020 UTC
3352,00:11:10.67040 UTC
3353,00:11:10.67060 UTC
3354,00:11:10.67080 UTC
3355,00:11:11.67100 UTC
3356,00:11:11.67120 UTC
3357,00:11:11.67140 UTC
3358,00:11:11.67160 UTC
3359,00:11:11.67180 UTC
3360,00:11:12.67200 UTC
3361,00:11:12.67220 UTC
3362,00:11:12.67240 UTC
3363,00:11:12.67260 UTC
3364,00:11:12.67280 UTC
3365,00:11:13.67300 UTC
3366,00:11:13.67320 UTC
3367,00:11:13.67340 UTC
3368,00:11:13.67360 UTC
3369,00:11:13.67380 UTC
3370,00:11:14.67400 UTC
3371,00:11:14.67420 UTC
