# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:12:00 2026,,,,,,,,
64,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231338.842649_ir.tif,2308,634.361,384.995,639.965,398.011,0.35716,0,hotspot,0.35716
65,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231406.326740_ir.tif,2332,593.453,166.193,601.872,174.261,0.11973,0,hotspot,0.11973
66,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231558.008507_ir.tif,2430,337.010,308.051,348.930,317.903,0.66234,0,hotspot,0.66234
67,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231558.008507_ir.tif,2430,268.162,276.339,279.965,285.588,0.65788,0,hotspot,0.65788
68,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231636.813251_ir.tif,2464,204.868,162.353,215.083,172.109,0.64127,0,hotspot,0.64127
69,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231652.775310_ir.tif,2478,371.528,340.538,381.351,349.493,0.50146,0,hotspot,0.50146
70,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231744.216305_ir.tif,2523,57.546,368.405,67.361,378.969,0.59926,0,hotspot,0.59926
71,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231745.355371_ir.tif,2524,287.897,284.140,296.713,294.665,0.71542,0,hotspot,0.71542
72,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231817.295628_ir.tif,2552,118.936,408.380,128.641,421.802,0.72632,0,hotspot,0.72632
73,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231905.294608_ir.tif,2594,392.271,374.350,400.918,387.553,0.17669,0,hotspot,0.17669
74,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232037.637814_ir.tif,2675,516.390,280.908,526.581,290.549,0.62282,0,hotspot,0.62282
75,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232216.148283_ir.tif,2700,249.507,56.496,259.399,74.364,0.10531,0,hotspot,0.10531
76,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232421.698942_ir.tif,2812,241.128,116.149,248.559,127.799,0.26862,0,hotspot,0.26862
77,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232516.032438_ir.tif,2861,444.602,0.099,455.100,8.460,0.13509,0,hotspot,0.13509
78,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232548.152412_ir.tif,2890,7.746,254.026,17.736,264.508,0.69630,0,hotspot,0.69630
79,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232602.500502_ir.tif,2903,13.103,0.000,24.839,5.944,0.33009,0,hotspot,0.33009
80,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232603.601509_ir.tif,2904,129.165,219.003,137.677,227.588,0.52063,0,hotspot,0.52063
81,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232628.944444_ir.tif,2927,253.949,28.780,264.429,46.257,0.35462,0,hotspot,0.35462
82,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232628.944444_ir.tif,2927,372.598,159.887,382.681,173.732,0.26059,0,hotspot,0.26059
83,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232839.455794_ir.tif,3046,409.281,30.172,417.523,38.719,0.44978,0,hotspot,0.44978
84,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232839.455794_ir.tif,3046,416.788,31.157,424.269,39.296,0.40466,0,hotspot,0.40466
85,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232839.455794_ir.tif,3046,423.874,39.048,431.593,48.665,0.24850,0,hotspot,0.24850
86,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232839.455794_ir.tif,3046,410.635,24.716,419.168,33.448,0.14250,0,hotspot,0.14250
87,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_232843.829518_ir.tif,3050,374.614,246.543,386.502,254.962,0.19007,0,hotspot,0.19007
88,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233229.258433_ir.tif,3257,562.877,16.212,572.211,24.708,0.54617,0,hotspot,0.54617
89,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233230.335401_ir.tif,3258,548.348,389.150,557.368,397.383,0.56641,0,hotspot,0.56641
90,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233236.800924_ir.tif,3264,144.532,238.714,154.692,252.732,0.76580,0,hotspot,0.76580
91,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233601.265769_ir.tif,3456,266.988,339.241,276.073,349.138,0.54923,0,hotspot,0.54923
92,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233624.750330_ir.tif,3478,555.007,0.510,567.137,9.329,0.69190,0,hotspot,0.69190
93,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233625.806838_ir.tif,3479,558.743,366.966,569.641,375.234,0.69223,0,hotspot,0.69223
94,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233631.090873_ir.tif,3484,433.541,127.792,444.690,139.747,0.18257,0,hotspot,0.18257
95,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233648.083858_ir.tif,3500,294.768,135.133,307.404,145.748,0.39680,0,hotspot,0.39680
96,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233648.083858_ir.tif,3500,293.568,133.740,308.923,147.175,0.11532,0,hotspot,0.11532
97,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233847.129931_ir.tif,3612,148.920,325.529,160.313,335.085,0.12186,0,hotspot,0.12186
98,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233904.122862_ir.tif,3628,625.642,16.214,638.331,26.451,0.63846,0,hotspot,0.63846
99,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_233905.184645_ir.tif,3629,612.328,380.042,624.607,390.305,0.70876,0,hotspot,0.70876
100,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_234131.638036_ir.tif,3767,601.970,136.429,612.681,146.190,0.55982,0,hotspot,0.55982
101,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_234132.703299_ir.tif,3768,578.208,438.104,589.386,448.530,0.51466,0,hotspot,0.51466
102,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_234233.936598_ir.tif,3827,79.020,296.825,90.256,307.805,0.72765,0,hotspot,0.72765
103,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_234449.301075_ir.tif,3957,104.800,135.196,118.164,147.478,0.29073,0,hotspot,0.29073
