# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:04:34 2026,,,,,,,,
58,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231142.557590_ir.tif,2206,168.456,104.524,180.594,116.241,0.23259,0,hotspot,0.23259
59,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231143.697076_ir.tif,2207,152.517,500.145,163.508,510.595,0.44745,0,hotspot,0.44745
60,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231143.697076_ir.tif,2207,155.107,498.775,165.261,509.671,0.29682,0,hotspot,0.29682
61,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231222.384255_ir.tif,2241,214.908,202.977,224.096,211.836,0.14420,0,hotspot,0.14420
62,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231223.521981_ir.tif,2242,388.350,137.167,397.658,145.720,0.19024,0,hotspot,0.19024
63,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231225.798156_ir.tif,2244,419.495,460.054,426.826,469.387,0.32431,0,hotspot,0.32431
64,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231317.097295_ir.tif,2289,414.014,14.090,424.470,23.880,0.65523,0,hotspot,0.65523
65,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231317.097295_ir.tif,2289,391.917,58.275,400.968,69.489,0.58444,0,hotspot,0.58444
66,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231318.244102_ir.tif,2290,395.165,443.811,405.588,453.609,0.49346,0,hotspot,0.49346
67,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231318.244102_ir.tif,2290,372.802,484.301,381.818,495.613,0.46195,0,hotspot,0.46195
68,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231724.807545_ir.tif,2506,269.962,272.461,279.219,281.314,0.21307,0,hotspot,0.21307
69,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231903.013789_ir.tif,2592,375.891,207.441,383.271,214.484,0.40293,0,hotspot,0.40293
70,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232308.952750_ir.tif,2746,34.867,323.476,44.836,333.770,0.47263,0,hotspot,0.47263
71,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232400.498429_ir.tif,2792,212.316,206.043,220.862,217.345,0.54725,0,hotspot,0.54725
72,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232402.727222_ir.tif,2794,258.954,346.471,266.526,358.140,0.23757,0,hotspot,0.23757
73,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232559.195462_ir.tif,2899,463.661,319.460,474.919,328.704,0.70100,0,hotspot,0.70100
74,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232634.455879_ir.tif,2931,126.397,83.436,135.892,94.173,0.35297,0,hotspot,0.35297
75,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232744.721014_ir.tif,2995,423.503,224.144,432.795,235.913,0.73380,0,hotspot,0.73380
76,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232851.496529_ir.tif,3056,80.221,351.276,93.446,363.904,0.12273,0,hotspot,0.12273
77,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233217.414782_ir.tif,3245,508.858,50.730,519.136,61.826,0.48582,0,hotspot,0.48582
78,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233217.414782_ir.tif,3245,507.145,49.396,520.515,63.210,0.16146,0,hotspot,0.16146
79,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233218.492147_ir.tif,3246,496.236,493.346,507.598,505.605,0.38906,0,hotspot,0.38906
80,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233218.492147_ir.tif,3246,495.077,492.319,509.141,506.722,0.10737,0,hotspot,0.10737
81,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233423.657581_ir.tif,3363,272.799,66.298,282.266,80.953,0.72880,0,hotspot,0.72880
82,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233424.720906_ir.tif,3364,266.756,482.184,276.536,497.375,0.63782,0,hotspot,0.63782
83,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233507.283971_ir.tif,3404,356.512,132.467,365.038,142.488,0.58406,0,hotspot,0.58406
84,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233537.953762_ir.tif,3433,551.754,90.467,559.217,97.920,0.47058,0,hotspot,0.47058
